Family,Species,TotalArea,GMvolume,AvgThickness,localGI
Marsupialia,Marmota mitis,219,176.51,0.81,1
Marsupialia,Didelphis virginiana,660,545.16,0.83,1.12
Marsupialia,Wallabia rufogrisea,2165,5349.72,2.47,1.23
Marsupialia,Macropus melanops,3745,8400.04,2.24,1.41
Afrotheria,Procavia capensis,2113,3131.47,1.48,1.36
Afrotheria,Dendrohyrax dorsalis,1895,3028.21,1.6,1.36
Afrotheria,Loxodonta africana,257067,676857.41,2.63,4.14
Afrotheria,Loxodonta africana,313750,700917.5,2.23,3.84
Afrotheria,Setifer setosus,216,203.9,0.94,1
Afrotheria,Elephantulus fuscipes,233,201.55,0.87,1
Afrotheria,Potamogale velox,414,669.85,1.62,1
Afrotheria,Trichechus manatus,6300,26649,4.23,1.06
Glires,Mus musculus,148,107.3,0.73,1.02
Glires,Rattus norvegicus,356,431.47,1.21,1.04
Glires,Cavia porcellus,536,812.04,1.52,1.04
Glires,Dasyprocta promnolopha,1413,2608.4,1.85,1.17
Glires,Hydrochoerus,6005,16898.07,2.81,1.3
Glires,Dolychotus sp.,3255,6549.06,2.01,1.42
Scandentia,Tupaia belangeri,497,531.79,1.07,1.04
Primata,Callimico goeldii,1953,3124.8,1.6,1.26
Primata,Callithrix sp.,2020,3044.14,1.51,1.22
Primata,Callithrix jacchus,1534,2035.62,1.33,1.18
Primata,Otolemur garnettii,1745,2491.86,1.43,1.25
Primata,Aotus trivirgatus,2214,3294.43,1.49,1.36
Primata,Saimiri sciureus,5250,7707,1.47,1.57
Primata,Saimiri sciureus,3980,6650.58,1.67,1.6
Primata,Cebus apella,7653,13476.93,1.76,1.69
Primata,Cercopithecus aethiops,10000,18000,1.8,1.85
Primata,Macaca.mulatta,12500,27550,2.2,1.7
Primata,Macaca.radiata,8441,13218.61,1.57,1.81
Primata,Macaca.fascicularis,9381,13236.59,1.41,1.65
Primata,Papio.anubis cynocephalus,16689,33912.05,2.03,1.92
Primata,Homo.sapiens,94050,276318.9,2.94,2.21
Primata,Homo.sapiens,121500,341536.5,2.81,2.83
Eulipotyphla,Sorex.minutus,40,14.68,0.37,1
Eulipotyphla,Sorex.araneus,70,27.16,0.39,1
Eulipotyphla,Crocidura.russala,61,26.72,0.44,1
Eulipotyphla,Crocidura.flavescens,97,60.04,0.62,1
Eulipotyphla,Erinaceus.europaeus,462,483.71,1.05,1
Eulipotyphla,Neomys.fodiens,106,43.99,0.42,1
Eulipotyphla,Talpa.europaea,194,166.45,0.86,1
Eulipotyphla,Galemys.pyrenaicus,247,246.01,1,1
Carnivora,Felis.catus,4165,7651.11,1.84,1.59
Carnivora,Vulpes.vulpes,7550,13703.25,1.82,1.8
Artiodactyla,Sus.scrofa.domesticus,6594,8809.58,1.34,1.89
Artiodactyla,Sus.scrofa.domesticus,18000,39402,2.19,2.17
Artiodactyla,Antidorcas marsupialis,9623,16060.79,1.67,2.02
Artiodactyla,Damaliscus.dorcas,16915,36688.64,2.17,2.01
Artiodactyla,Tragelaphus stripceros,22203,52043.83,2.34,2.03
Artiodactyla,Giraffa camelopardalis,40128,96066.43,2.39,2.41
Artiodactyla,Bos.taurus,52750,112990.5,2.14,2.49
Artiodactyla,Ovis.aries,14900,25896.2,1.74,1.94
Perissodactyla,Equus.caballus,61400,140974.4,2.3,2.8
